,Folder,Filename,Type of Bacteria,Frames per second (fpp),Magnification,Bacteria Size/Diameter,Minmass,Search Range,Memory
0,62025,AMB1_MOD_DATA,AMB-1,25.38,40x,19,500000,20,10
1,62025,AMB1_CMC_MOD_DATA,AMB-1,25.38,40x,19,600000,20,10
2,62525,1000ppmCMC_NoField1,AMB-1,25.38,40x,13,100000,30,20
3,62525,1000ppmCMC_NoField2,AMB-1,25.38,40x,13,100000,30,15
4,62525,1000ppmCMC_NoField3,AMB-1,25.38,40x,13,100000,30,15
5,62625,1000ppmCMC_Growth20x,AMB-1,35.0,20x,13,1000,20,10
6,62625,1000ppmCMC_Growth20x_2,AMB-1,35.0,20x,13,1000,20,10
7,62625,1000ppmCMC_Growth20x_3,AMB-1,35.0,20x,15,1000,20,10
8,62625,1000ppmCMC_Growth20x_4_35fps,AMB-1,35.0,20x,13,800,20,10
9,62625,1000ppmCMC_Growth20x_5_25fps,AMB-1,25.38,20x,19,1000,20,10
10,62625,AMB1_Broth_25fps,AMB-1,25.38,20x,15,1000,20,10
11,62625,AMB1_Broth_2_25fps,AMB-1,25.38,20x,15,1000,20,10
